[2019-07-18 20:52:10 $57703.0]	INFO	Server is reloading all workers now
[2019-07-19 11:04:18 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=80469] exit timeout, forced kill
[2019-07-19 11:04:18 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=80470] exit timeout, forced kill
[2019-07-19 11:04:18 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=80471] exit timeout, forced kill
[2019-07-19 11:04:18 $80463.0]	WARNING	swManager_check_exit_status: worker#10[pid=80466] abnormal exit, status=0, signal=9
[2019-07-19 11:04:18 $80463.0]	WARNING	swManager_check_exit_status: worker#13[pid=80469] abnormal exit, status=0, signal=9
[2019-07-19 11:04:18 $80463.0]	WARNING	swManager_check_exit_status: worker#15[pid=80471] abnormal exit, status=0, signal=9
[2019-07-19 11:04:18 $80463.0]	WARNING	swManager_check_exit_status: worker#14[pid=80470] abnormal exit, status=0, signal=9
[2019-07-19 11:04:18 $80463.0]	WARNING	swManager_check_exit_status: worker#12[pid=80468] abnormal exit, status=0, signal=9
[2019-07-19 11:04:18 $80463.0]	WARNING	swManager_check_exit_status: worker#11[pid=80467] abnormal exit, status=0, signal=9
[2019-07-19 11:05:42 $80463.0]	INFO	Server is reloading all workers now
[2019-07-19 11:05:45 ^80874.8]	WARNING	swWorker_reactor_is_empty (ERRNO 9012): worker exit timeout, forced to terminate
[2019-07-19 11:05:48 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=80881] exit timeout, forced kill
[2019-07-19 11:05:48 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=80895] exit timeout, forced kill
[2019-07-19 11:05:48 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=80900] exit timeout, forced kill
[2019-07-19 11:05:48 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=80899] exit timeout, forced kill
[2019-07-19 11:05:48 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=80896] exit timeout, forced kill
[2019-07-19 11:05:48 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=80898] exit timeout, forced kill
[2019-07-19 11:05:48 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=80897] exit timeout, forced kill
[2019-07-19 11:05:48 $80463.0]	WARNING	swManager_check_exit_status: worker#11[pid=80900] abnormal exit, status=0, signal=9
[2019-07-19 11:05:48 $80463.0]	WARNING	swManager_check_exit_status: worker#12[pid=80899] abnormal exit, status=0, signal=9
[2019-07-19 11:05:48 $80463.0]	WARNING	swManager_check_exit_status: worker#14[pid=80898] abnormal exit, status=0, signal=9
[2019-07-19 11:05:48 $80463.0]	WARNING	swManager_check_exit_status: worker#15[pid=80897] abnormal exit, status=0, signal=9
[2019-07-19 11:05:48 $80463.0]	WARNING	swManager_check_exit_status: worker#13[pid=80896] abnormal exit, status=0, signal=9
[2019-07-19 11:05:48 $80463.0]	WARNING	swManager_check_exit_status: worker#10[pid=80895] abnormal exit, status=0, signal=9
[2019-07-19 11:05:56 $80463.0]	INFO	Server is reloading all workers now
[2019-07-19 11:05:59 ^81148.8]	WARNING	swWorker_reactor_is_empty (ERRNO 9012): worker exit timeout, forced to terminate
[2019-07-19 11:06:02 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=81167] exit timeout, forced kill
[2019-07-19 11:06:02 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=81189] exit timeout, forced kill
[2019-07-19 11:06:02 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=81184] exit timeout, forced kill
[2019-07-19 11:06:02 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=81185] exit timeout, forced kill
[2019-07-19 11:06:02 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=81188] exit timeout, forced kill
[2019-07-19 11:06:02 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=81186] exit timeout, forced kill
[2019-07-19 11:06:02 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=81187] exit timeout, forced kill
[2019-07-19 11:06:02 $80463.0]	WARNING	swManager_check_exit_status: worker#10[pid=81189] abnormal exit, status=0, signal=9
[2019-07-19 11:06:02 $80463.0]	WARNING	swManager_check_exit_status: worker#13[pid=81188] abnormal exit, status=0, signal=9
[2019-07-19 11:06:02 $80463.0]	WARNING	swManager_check_exit_status: worker#15[pid=81187] abnormal exit, status=0, signal=9
[2019-07-19 11:06:02 $80463.0]	WARNING	swManager_check_exit_status: worker#14[pid=81186] abnormal exit, status=0, signal=9
[2019-07-19 11:06:02 $80463.0]	WARNING	swManager_check_exit_status: worker#12[pid=81185] abnormal exit, status=0, signal=9
[2019-07-19 11:06:02 $80463.0]	WARNING	swManager_check_exit_status: worker#11[pid=81184] abnormal exit, status=0, signal=9
[2019-07-19 11:18:54 $80463.0]	INFO	Server is reloading all workers now
[2019-07-19 11:18:57 ^81225.8]	WARNING	swWorker_reactor_is_empty (ERRNO 9012): worker exit timeout, forced to terminate
[2019-07-19 11:19:00 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=81234] exit timeout, forced kill
[2019-07-19 11:19:00 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=81245] exit timeout, forced kill
[2019-07-19 11:19:00 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=81250] exit timeout, forced kill
[2019-07-19 11:19:00 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=81249] exit timeout, forced kill
[2019-07-19 11:19:00 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=81246] exit timeout, forced kill
[2019-07-19 11:19:00 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=81248] exit timeout, forced kill
[2019-07-19 11:19:00 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=81247] exit timeout, forced kill
[2019-07-19 11:19:00 $80463.0]	WARNING	swManager_check_exit_status: worker#10[pid=81245] abnormal exit, status=0, signal=9
[2019-07-19 11:19:00 $80463.0]	WARNING	swManager_check_exit_status: worker#11[pid=81250] abnormal exit, status=0, signal=9
[2019-07-19 11:19:00 $80463.0]	WARNING	swManager_check_exit_status: worker#12[pid=81249] abnormal exit, status=0, signal=9
[2019-07-19 11:19:00 $80463.0]	WARNING	swManager_check_exit_status: worker#14[pid=81248] abnormal exit, status=0, signal=9
[2019-07-19 11:19:00 $80463.0]	WARNING	swManager_check_exit_status: worker#15[pid=81247] abnormal exit, status=0, signal=9
[2019-07-19 11:19:00 $80463.0]	WARNING	swManager_check_exit_status: worker#13[pid=81246] abnormal exit, status=0, signal=9
[2019-07-19 11:19:05 $80463.0]	INFO	Server is reloading all workers now
[2019-07-19 11:19:08 ^83566.8]	WARNING	swWorker_reactor_is_empty (ERRNO 9012): worker exit timeout, forced to terminate
[2019-07-19 11:19:11 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=83579] exit timeout, forced kill
[2019-07-19 11:19:11 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=83590] exit timeout, forced kill
[2019-07-19 11:19:11 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=83591] exit timeout, forced kill
[2019-07-19 11:19:11 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=83592] exit timeout, forced kill
[2019-07-19 11:19:11 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=83595] exit timeout, forced kill
[2019-07-19 11:19:11 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=83593] exit timeout, forced kill
[2019-07-19 11:19:11 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=83594] exit timeout, forced kill
[2019-07-19 11:19:11 $80463.0]	WARNING	swManager_check_exit_status: worker#10[pid=83590] abnormal exit, status=0, signal=9
[2019-07-19 11:19:11 $80463.0]	WARNING	swManager_check_exit_status: worker#13[pid=83595] abnormal exit, status=0, signal=9
[2019-07-19 11:19:11 $80463.0]	WARNING	swManager_check_exit_status: worker#15[pid=83594] abnormal exit, status=0, signal=9
[2019-07-19 11:19:11 $80463.0]	WARNING	swManager_check_exit_status: worker#14[pid=83593] abnormal exit, status=0, signal=9
[2019-07-19 11:19:11 $80463.0]	WARNING	swManager_check_exit_status: worker#12[pid=83592] abnormal exit, status=0, signal=9
[2019-07-19 11:19:11 $80463.0]	WARNING	swManager_check_exit_status: worker#11[pid=83591] abnormal exit, status=0, signal=9
[2019-07-19 11:19:18 $80463.0]	INFO	Server is reloading all workers now
[2019-07-19 11:19:21 ^83620.8]	WARNING	swWorker_reactor_is_empty (ERRNO 9012): worker exit timeout, forced to terminate
[2019-07-19 11:19:24 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=83627] exit timeout, forced kill
[2019-07-19 11:19:24 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=83638] exit timeout, forced kill
[2019-07-19 11:19:24 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=83643] exit timeout, forced kill
[2019-07-19 11:19:24 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=83642] exit timeout, forced kill
[2019-07-19 11:19:24 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=83639] exit timeout, forced kill
[2019-07-19 11:19:24 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=83641] exit timeout, forced kill
[2019-07-19 11:19:24 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=83640] exit timeout, forced kill
[2019-07-19 11:19:24 $80463.0]	WARNING	swManager_check_exit_status: worker#11[pid=83643] abnormal exit, status=0, signal=9
[2019-07-19 11:19:24 $80463.0]	WARNING	swManager_check_exit_status: worker#12[pid=83642] abnormal exit, status=0, signal=9
[2019-07-19 11:19:24 $80463.0]	WARNING	swManager_check_exit_status: worker#14[pid=83641] abnormal exit, status=0, signal=9
[2019-07-19 11:19:24 $80463.0]	WARNING	swManager_check_exit_status: worker#15[pid=83640] abnormal exit, status=0, signal=9
[2019-07-19 11:19:24 $80463.0]	WARNING	swManager_check_exit_status: worker#13[pid=83639] abnormal exit, status=0, signal=9
[2019-07-19 11:19:24 $80463.0]	WARNING	swManager_check_exit_status: worker#10[pid=83638] abnormal exit, status=0, signal=9
[2019-07-19 11:19:47 $80463.0]	INFO	Server is reloading all workers now
[2019-07-19 11:19:50 ^83670.8]	WARNING	swWorker_reactor_is_empty (ERRNO 9012): worker exit timeout, forced to terminate
[2019-07-19 11:19:53 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=83681] exit timeout, forced kill
[2019-07-19 11:19:53 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=83695] exit timeout, forced kill
[2019-07-19 11:19:53 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=83690] exit timeout, forced kill
[2019-07-19 11:19:53 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=83691] exit timeout, forced kill
[2019-07-19 11:19:53 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=83694] exit timeout, forced kill
[2019-07-19 11:19:53 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=83692] exit timeout, forced kill
[2019-07-19 11:19:53 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=83693] exit timeout, forced kill
[2019-07-19 11:19:53 $80463.0]	WARNING	swManager_check_exit_status: worker#10[pid=83695] abnormal exit, status=0, signal=9
[2019-07-19 11:19:53 $80463.0]	WARNING	swManager_check_exit_status: worker#13[pid=83694] abnormal exit, status=0, signal=9
[2019-07-19 11:19:53 $80463.0]	WARNING	swManager_check_exit_status: worker#15[pid=83693] abnormal exit, status=0, signal=9
[2019-07-19 11:19:53 $80463.0]	WARNING	swManager_check_exit_status: worker#14[pid=83692] abnormal exit, status=0, signal=9
[2019-07-19 11:19:53 $80463.0]	WARNING	swManager_check_exit_status: worker#12[pid=83691] abnormal exit, status=0, signal=9
[2019-07-19 11:19:53 $80463.0]	WARNING	swManager_check_exit_status: worker#11[pid=83690] abnormal exit, status=0, signal=9
[2019-07-19 11:19:59 $80463.0]	INFO	Server is reloading all workers now
[2019-07-19 11:20:02 ^83772.8]	WARNING	swWorker_reactor_is_empty (ERRNO 9012): worker exit timeout, forced to terminate
[2019-07-19 11:20:05 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=83787] exit timeout, forced kill
[2019-07-19 11:20:05 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=83800] exit timeout, forced kill
[2019-07-19 11:20:05 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=83805] exit timeout, forced kill
[2019-07-19 11:20:05 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=83804] exit timeout, forced kill
[2019-07-19 11:20:05 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=83801] exit timeout, forced kill
[2019-07-19 11:20:05 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=83803] exit timeout, forced kill
[2019-07-19 11:20:05 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=83802] exit timeout, forced kill
[2019-07-19 11:20:05 $80463.0]	WARNING	swManager_check_exit_status: worker#11[pid=83805] abnormal exit, status=0, signal=9
[2019-07-19 11:20:05 $80463.0]	WARNING	swManager_check_exit_status: worker#12[pid=83804] abnormal exit, status=0, signal=9
[2019-07-19 11:20:05 $80463.0]	WARNING	swManager_check_exit_status: worker#14[pid=83803] abnormal exit, status=0, signal=9
[2019-07-19 11:20:05 $80463.0]	WARNING	swManager_check_exit_status: worker#15[pid=83802] abnormal exit, status=0, signal=9
[2019-07-19 11:20:05 $80463.0]	WARNING	swManager_check_exit_status: worker#13[pid=83801] abnormal exit, status=0, signal=9
[2019-07-19 11:20:05 $80463.0]	WARNING	swManager_check_exit_status: worker#10[pid=83800] abnormal exit, status=0, signal=9
[2019-07-19 11:20:06 $80463.0]	INFO	Server is reloading all workers now
[2019-07-19 11:20:09 ^83824.8]	WARNING	swWorker_reactor_is_empty (ERRNO 9012): worker exit timeout, forced to terminate
[2019-07-19 11:20:12 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=83839] exit timeout, forced kill
[2019-07-19 11:20:12 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=83853] exit timeout, forced kill
[2019-07-19 11:20:12 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=83848] exit timeout, forced kill
[2019-07-19 11:20:12 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=83849] exit timeout, forced kill
[2019-07-19 11:20:12 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=83852] exit timeout, forced kill
[2019-07-19 11:20:12 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=83850] exit timeout, forced kill
[2019-07-19 11:20:12 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=83851] exit timeout, forced kill
[2019-07-19 11:20:12 $80463.0]	WARNING	swManager_check_exit_status: worker#10[pid=83853] abnormal exit, status=0, signal=9
[2019-07-19 11:20:12 $80463.0]	WARNING	swManager_check_exit_status: worker#13[pid=83852] abnormal exit, status=0, signal=9
[2019-07-19 11:20:12 $80463.0]	WARNING	swManager_check_exit_status: worker#15[pid=83851] abnormal exit, status=0, signal=9
[2019-07-19 11:20:12 $80463.0]	WARNING	swManager_check_exit_status: worker#14[pid=83850] abnormal exit, status=0, signal=9
[2019-07-19 11:20:12 $80463.0]	WARNING	swManager_check_exit_status: worker#12[pid=83849] abnormal exit, status=0, signal=9
[2019-07-19 11:20:12 $80463.0]	WARNING	swManager_check_exit_status: worker#11[pid=83848] abnormal exit, status=0, signal=9
[2019-07-19 11:21:35 $80463.0]	INFO	Server is reloading all workers now
[2019-07-19 11:21:38 ^83867.8]	WARNING	swWorker_reactor_is_empty (ERRNO 9012): worker exit timeout, forced to terminate
[2019-07-19 11:21:41 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=83875] exit timeout, forced kill
[2019-07-19 11:21:41 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=83887] exit timeout, forced kill
[2019-07-19 11:21:41 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=83892] exit timeout, forced kill
[2019-07-19 11:21:41 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=83891] exit timeout, forced kill
[2019-07-19 11:21:41 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=83888] exit timeout, forced kill
[2019-07-19 11:21:41 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=83890] exit timeout, forced kill
[2019-07-19 11:21:41 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=83889] exit timeout, forced kill
[2019-07-19 11:21:41 $80463.0]	WARNING	swManager_check_exit_status: worker#10[pid=83887] abnormal exit, status=0, signal=9
[2019-07-19 11:21:41 $80463.0]	WARNING	swManager_check_exit_status: worker#11[pid=83892] abnormal exit, status=0, signal=9
[2019-07-19 11:21:41 $80463.0]	WARNING	swManager_check_exit_status: worker#12[pid=83891] abnormal exit, status=0, signal=9
[2019-07-19 11:21:41 $80463.0]	WARNING	swManager_check_exit_status: worker#14[pid=83890] abnormal exit, status=0, signal=9
[2019-07-19 11:21:41 $80463.0]	WARNING	swManager_check_exit_status: worker#15[pid=83889] abnormal exit, status=0, signal=9
[2019-07-19 11:21:41 $80463.0]	WARNING	swManager_check_exit_status: worker#13[pid=83888] abnormal exit, status=0, signal=9
[2019-07-19 11:22:29 $80463.0]	INFO	Server is reloading all workers now
[2019-07-19 11:22:32 ^84153.8]	WARNING	swWorker_reactor_is_empty (ERRNO 9012): worker exit timeout, forced to terminate
[2019-07-19 11:22:35 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=84163] exit timeout, forced kill
[2019-07-19 11:22:35 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=84169] exit timeout, forced kill
[2019-07-19 11:22:35 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=84170] exit timeout, forced kill
[2019-07-19 11:22:35 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=84171] exit timeout, forced kill
[2019-07-19 11:22:35 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=84174] exit timeout, forced kill
[2019-07-19 11:22:35 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=84172] exit timeout, forced kill
[2019-07-19 11:22:35 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=84173] exit timeout, forced kill
[2019-07-19 11:22:35 $80463.0]	WARNING	swManager_check_exit_status: worker#11[pid=84170] abnormal exit, status=0, signal=9
[2019-07-19 11:22:35 $80463.0]	WARNING	swManager_check_exit_status: worker#13[pid=84174] abnormal exit, status=0, signal=9
[2019-07-19 11:22:35 $80463.0]	WARNING	swManager_check_exit_status: worker#15[pid=84173] abnormal exit, status=0, signal=9
[2019-07-19 11:22:35 $80463.0]	WARNING	swManager_check_exit_status: worker#14[pid=84172] abnormal exit, status=0, signal=9
[2019-07-19 11:22:35 $80463.0]	WARNING	swManager_check_exit_status: worker#12[pid=84171] abnormal exit, status=0, signal=9
[2019-07-19 11:22:35 $80463.0]	WARNING	swManager_check_exit_status: worker#10[pid=84169] abnormal exit, status=0, signal=9
[2019-07-19 11:25:05 $80463.0]	INFO	Server is reloading all workers now
[2019-07-19 11:25:08 ^84344.8]	WARNING	swWorker_reactor_is_empty (ERRNO 9012): worker exit timeout, forced to terminate
[2019-07-19 11:25:11 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=84355] exit timeout, forced kill
[2019-07-19 11:25:11 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=84373] exit timeout, forced kill
[2019-07-19 11:25:11 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=84368] exit timeout, forced kill
[2019-07-19 11:25:11 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=84372] exit timeout, forced kill
[2019-07-19 11:25:11 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=84369] exit timeout, forced kill
[2019-07-19 11:25:11 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=84371] exit timeout, forced kill
[2019-07-19 11:25:11 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=84370] exit timeout, forced kill
[2019-07-19 11:25:11 $80463.0]	WARNING	swManager_check_exit_status: worker#10[pid=84373] abnormal exit, status=0, signal=9
[2019-07-19 11:25:11 $80463.0]	WARNING	swManager_check_exit_status: worker#12[pid=84372] abnormal exit, status=0, signal=9
[2019-07-19 11:25:11 $80463.0]	WARNING	swManager_check_exit_status: worker#14[pid=84371] abnormal exit, status=0, signal=9
[2019-07-19 11:25:11 $80463.0]	WARNING	swManager_check_exit_status: worker#15[pid=84370] abnormal exit, status=0, signal=9
[2019-07-19 11:25:11 $80463.0]	WARNING	swManager_check_exit_status: worker#13[pid=84369] abnormal exit, status=0, signal=9
[2019-07-19 11:25:11 $80463.0]	WARNING	swManager_check_exit_status: worker#11[pid=84368] abnormal exit, status=0, signal=9
[2019-07-19 11:25:23 $80463.0]	INFO	Server is reloading all workers now
[2019-07-19 11:25:26 ^84847.8]	WARNING	swWorker_reactor_is_empty (ERRNO 9012): worker exit timeout, forced to terminate
[2019-07-19 11:25:29 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=84856] exit timeout, forced kill
[2019-07-19 11:25:29 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=84865] exit timeout, forced kill
[2019-07-19 11:25:29 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=84870] exit timeout, forced kill
[2019-07-19 11:25:29 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=84866] exit timeout, forced kill
[2019-07-19 11:25:29 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=84869] exit timeout, forced kill
[2019-07-19 11:25:29 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=84867] exit timeout, forced kill
[2019-07-19 11:25:29 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=84868] exit timeout, forced kill
[2019-07-19 11:25:29 $80463.0]	WARNING	swManager_check_exit_status: worker#11[pid=84870] abnormal exit, status=0, signal=9
